Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
07/02/2023,AplPay MISSION DISTRSan Francisco       CA,21.68,"jr7xTRMIqfq squareup.com/receipts
AplPay MISSION DISTRICT
San Francisco
CA
squareup.com/receipts",AplPay MISSION DISTRSan Francisco       CA,3150 24TH ST,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231830072358826',Restaurant-Restaurant
07/02/2023,AplPay ROSAMUNDE SAUSan Francisco       CA,32.38,"xqVUdFXK3PA squareup.com/receipts
AplPay ROSAMUNDE SAUSAGE GRILL
San Francisco
CA
squareup.com/receipts",AplPay ROSAMUNDE SAUSan Francisco       CA,2832 MISSION ST,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231830088015872',Restaurant-Bar & Café
07/02/2023,AplPay THE MISSION GSAN FRANCISC        CA,107.11,"000060300   4158298755
AplPay THE MISSION GROCERY OUTL 0000000003
SAN FRANCISC
CA
4158298755",AplPay THE MISSION GSAN FRANCISC        CA,1245 SOUTH VAN NESS AVE,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231840096568509',Merchandise & Supplies-Groceries
07/01/2023,AplPay MISSION DISTRSan Francisco       CA,17.12,"r9wYn3iMH8Y squareup.com/receipts
AplPay MISSION DISTRICT
San Francisco
CA
squareup.com/receipts",AplPay MISSION DISTRSan Francisco       CA,3150 24TH ST,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231820046950777',Restaurant-Restaurant
07/01/2023,AplPay SOUTH VAN NESSAN FRANCISCO       CA,19.98,"31099533181 MISC FOOD STORE
AplPay SOUTH VAN NESS MARKET INC 00-080393
SAN FRANCISCO
CA
MISC FOOD STORE",AplPay SOUTH VAN NESSAN FRANCISCO       CA,999 SOUTH VAN NESS AVE,"SAN FRANCISCO
CA",94110-2613,UNITED STATES,'320231820053364141',Merchandise & Supplies-Groceries
07/01/2023,BLVD   *FELLOW BARBESAN FRANCISCO       CA,67.60,"99999993183 2123654161
BLVD   *FELLOW BARBER MIS 000000732
SAN FRANCISCO
CA
Description : BEAUTY & BARBER Price : 0.676
2123654161",BLVD   *FELLOW BARBESAN FRANCISCO       CA,696 VALENCIA ST,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231830081027122',Business Services-Other Services
07/01/2023,CHIPOTLE ONLINE     NEWPORT BEACH       CA,19.86,"3293       3293             92660
FAST FOOD RESTAURANT
CHIPOTLE ONLINE
NEWPORT BEACH
CA
FAST FOOD RESTAURANT
3293             92660",CHIPOTLE ONLINE     NEWPORT BEACH       CA,1401 WYNKOOP ST STE 500,"DENVER
CO",80202,UNITED STATES,'320231820055427667',Restaurant-Bar & Café
06/30/2023,AplPay THE HALAL GUYSANTA CLARA         CA,15.49,"35074937   10387776         95054
RESTAURANT
AplPay THE HALAL GUYS
SANTA CLARA
CA
RESTAURANT
10387776         95054",AplPay THE HALAL GUYSANTA CLARA         CA,2526 AUGUSTINE DR,"SANTA CLARA
CA",95054,UNITED STATES,'320231810025308011',Restaurant-Restaurant
06/30/2023,CLEARWATER CARWASH -MOUNTAIN VIEW       CA,16.00,"99999993182 6507991211
CLEARWATER CARWASH - CA 000000001
MOUNTAIN VIEW
CA
6507991211",CLEARWATER CARWASH -MOUNTAIN VIEW       CA,466 STIERLIN RD,"MOUNTAIN VIEW
CA",94043-4622,UNITED STATES,'320231820054187713',Business Services-Other Services
06/29/2023,AplPay A&A GAS      BURLINGAME          CA,15.21,"00057070    510-396-5560
AplPay A&A GAS
BURLINGAME
CA
Description : GAS/SERVICES Price : 0.00
510-396-5560",AplPay A&A GAS      BURLINGAME          CA,1100 BROAD WAY,"BURLINGAME
CA",94010,UNITED STATES,'320231810032987977',Transportation-Fuel
06/29/2023,SPEEDWAY 4857 SPWY65SAN FRANCISCO       CA,49.14,"501000043   0000000000
SPEEDWAY 4857 SPWY65830201
SAN FRANCISCO
CA
Description : GAS/OIL Price : 0.4914
0000000000",SPEEDWAY 4857 SPWY65SAN FRANCISCO       CA,19100 RIDGEWOOD PKWY,"SAN ANTONIO
TX",78259-1834,UNITED STATES,'320231810025142242',Transportation-Fuel
06/28/2023,AplPay SAFEWAY      SANTA CLARA         CA,78.60,"0080931     800-898-4027
AplPay SAFEWAY
SANTA CLARA
CA
Description : GROCERIES/SUNDRIES Price : 0.00
800-898-4027",AplPay SAFEWAY      SANTA CLARA         CA,3970 RIVERMARK PLZ,"SANTA CLARA
CA",95054,UNITED STATES,'320231800998156322',Merchandise & Supplies-Groceries
06/28/2023,AplPay WHOLEFDS SCA SANTA CLARA         CA,19.28,"0GQ6DMYINV1 8777445300
AplPay WHOLEFDS SCA #10633 000010633
SANTA CLARA
CA
Description : GROCERY STORES Price : 0.1928
8777445300",AplPay WHOLEFDS SCA SANTA CLARA         CA,2732 AUGUSTINE DR STE 1600,"SANTA CLARA
CA",95054,UNITED STATES,'320231800005522377',Merchandise & Supplies-Groceries
06/27/2023,AMERICAN AIRLINES   800-433-7300        TX,233.90,"20230627    AMERICAN AIR
PASSENGER TICKET
AMERICAN AIRLINES
800-433-7300
TX
Carrier : American Airlines
Passenger Name : HUIBREGTSE/CLYDE
Ticket Number : 0012458743885
Departure Day : 07/05
Additional Info : PASSENGER TICKET
From : SAN FRANCISCO INTL
To : N.Y. J F KENNEDY I
Class : B",AMERICAN AIRLINES   800-433-7300        TX,1 SKYVIEW DR,"FORT WORTH
TX",76155,UNITED STATES,'320231780945969076',Travel-Airline
06/27/2023,AplPay BT*DD *DOORDASAN FRANCISCO       CA,26.85,"1GJ7CNJY    8559731040
AplPay BT*DD *DOORDASH GYROXPRES
SAN FRANCISCO
CA
8559731040",AplPay BT*DD *DOORDASAN FRANCISCO       CA,303 2ND ST STE 800,"SAN FRANCISCO
CA",94107,UNITED STATES,'320231780947295240',Restaurant-Restaurant
06/27/2023,EDREAMS 348577891   MADRID              ES,133.22,"20089146920 TRAVEL AGENCY
EDREAMS 348577891
MADRID
ES
TRAVEL AGENCY",EDREAMS 348577891   MADRID              ES,"3390 MARY STREET
SUITE 116
COCONUT GROVE","MIAMI
FL",33133,UNITED STATES,'320231790980603687',Travel-Travel Agencies
06/27/2023,EDREAMS 348577891   MADRID              ES,173.88,"20089147069 TRAVEL AGENCY
EDREAMS 348577891
MADRID
ES
TRAVEL AGENCY",EDREAMS 348577891   MADRID              ES,"3390 MARY STREET
SUITE 116
COCONUT GROVE","MIAMI
FL",33133,UNITED STATES,'320231790980613920',Travel-Travel Agencies
06/25/2023,AplPay BT*DD *DOORDASAN FRANCISCO       CA,48.22,"KGQYVZ1H    8559731040
AplPay BT*DD *DOORDASH CHAATCORN
SAN FRANCISCO
CA
8559731040",AplPay BT*DD *DOORDASAN FRANCISCO       CA,303 2ND ST STE 800,"SAN FRANCISCO
CA",94107,UNITED STATES,'320231760898117148',Restaurant-Restaurant
06/25/2023,AplPay CLIPPER SYSTECONCORD             CA,20.00,"00114097692 8778788883
AplPay CLIPPER SYSTEMS MOBILE #1 000007046
CONCORD
CA
Description : REFER TO RECEIPT Price : 0.00
8778788883",AplPay CLIPPER SYSTECONCORD             CA,"STE 900
1800 SUTTER ST","CONCORD
CA",94520,UNITED STATES,'320231780948281740',Other-Government Services
06/25/2023,AplPay MISSION DISTRSan Francisco       CA,27.52,"FYnMBhwU3mY squareup.com/receipts
AplPay MISSION DISTRICT
San Francisco
CA
squareup.com/receipts",AplPay MISSION DISTRSan Francisco       CA,3150 24TH ST,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231760900307370',Restaurant-Restaurant
06/24/2023,AplPay MISSION DISTRSan Francisco       CA,20.93,"5EoyCT8yiaN squareup.com/receipts
AplPay MISSION DISTRICT
San Francisco
CA
squareup.com/receipts",AplPay MISSION DISTRSan Francisco       CA,3150 24TH ST,"SAN FRANCISCO
CA",94110,UNITED STATES,'320231750877752483',Restaurant-Restaurant
